,Neighbourhood,Latitude,Longitude
156,Gali Anjaneya Swamy Temple,12.936755999999999,77.549743
157,Deepanjali Nagar,12.9526,77.5293
158,Kengeri,12.8997,77.4827
159,Rajarajeshwarinagar,12.9149,77.5206
160,Hosakerehalli,12.9222,77.5363
161,Girinagara,12.9421,77.5464
162,Kathriguppe,12.9294,77.5569
163,Vidyapeeta,12.9334,77.5609
164,Ganesh Mandira,12.933,77.5714
165,Karesandra,12.9227,77.5716
166,Yediyur,12.9312,77.5723
167,Pattabiramanagar,12.9253,77.5907
168,Byrasandra,12.9805,77.6673
169,Jayanagara East,12.9329,77.5839
170,Gurappanapalya,12.9203,77.6028
171,Madiwala,12.9226,77.6174
172,Jakkasandra,12.9234,77.6386
173,HSR Layout,12.9121,77.6446
174,Bommanahalli,12.902999999999999,77.6242
175,B T M Layout,12.9166,77.6101
176,J P Nagar,12.9063,77.5857
177,Sarakki,12.8994,77.5799
178,Shakambari Nagar,12.9116,77.5759
179,Banashankari Temple,12.9158,77.5734
180,Kumaraswamy Layout,12.9044,77.5649
181,Padmanabhanagar,12.9156,77.5568
182,Chikkalasandra,12.9121,77.5462
183,Uttarahalli,12.907,77.5521
184,Yelachenahalli,12.9004,77.5712
185,Jaraganahalli,12.8987,77.5764
186,Puttenahalli,12.8938,77.5813
187,Bilekahalli,12.8985,77.6058
188,Hongasandra,12.8934,77.6258
189,Mangammanapalya,12.9027,77.635
190,Singasandra,12.8811,77.6494
191,Begur,12.8788,77.6377
192,Arakere,12.8874,77.5969
193,Gottigere,12.8564,77.5888
194,Konanakunte,12.8822,77.566
195,Anjanapura,12.8549,77.5543
196,Vasanthapura,12.8942,77.5519
197,Hemmigepura,12.8859,77.4903
